T	V	I_na	I_CaL	I_CaT	I_t	I_ss	I_f	I_k1	I_b	I_NaK	I_NCX	I_CaP	I_stim	I_f_K	I_f_Na	I_b_Na	I_b_Ca	I_b_K
0.45	-74.1455	-9.31433e-06	-1.10932e-05	-0.0311579	0.000356393	2.84015e-05	-3.306e-05	0.0216567	-0.00484197	0.0178327	-0.00437394	0.000664942	0	1.06096e-05	-4.36696e-05	-0.00372913	-0.00150277	0.00038993
0.46	-74.1793	-9.19456e-06	-1.10211e-05	-0.0310537	0.000353975	2.81722e-05	-3.30545e-05	0.0215768	-0.00484487	0.0178224	-0.0043832	0.000665039	0	1.05484e-05	-4.36029e-05	-0.00373011	-0.00150314	0.000388378
0.47	-74.213	-9.07883e-06	-1.09498e-05	-0.0309496	0.00035158	2.79456e-05	-3.30491e-05	0.0214969	-0.00484775	0.0178121	-0.00439242	0.000665135	0	1.04878e-05	-4.35369e-05	-0.00373109	-0.0015035	0.000386834
0.48	-74.2465	-8.96693e-06	-1.08793e-05	-0.0308458	0.000349207	2.77217e-05	-3.30438e-05	0.0214173	-0.00485063	0.0178018	-0.00440161	0.00066523	0	1.04278e-05	-4.34716e-05	-0.00373206	-0.00150386	0.000385297
0.49	-74.2798	-8.85865e-06	-1.08096e-05	-0.0307423	0.000346857	2.75004e-05	-3.30387e-05	0.0213377	-0.00485348	0.0177916	-0.00441075	0.000665326	0	1.03682e-05	-4.34069e-05	-0.00373303	-0.00150422	0.000383768
0.5	-74.313	-8.75378e-06	-1.07407e-05	-0.030639	0.000344529	2.72817e-05	-3.30337e-05	0.0212583	-0.00485633	0.0177814	-0.00441986	0.00066542	0	1.03092e-05	-4.3343e-05	-0.00373399	-0.00150458	0.000382246
0.51	-74.346	-8.65217e-06	-1.06726e-05	-0.0305359	0.000342223	2.70656e-05	-3.30289e-05	0.021179	-0.00485916	0.0177712	-0.00442892	0.000665514	0	1.02508e-05	-4.32797e-05	-0.00373495	-0.00150494	0.000380731
0.52	-74.3788	-8.55362e-06	-1.06052e-05	-0.0304331	0.000339938	2.68519e-05	-3.30243e-05	0.0210998	-0.00486197	0.0177611	-0.00443795	0.000665608	0	1.01928e-05	-4.32171e-05	-0.0037359	-0.00150529	0.000379224
0.53	-74.4115	-8.458e-06	-1.05385e-05	-0.0303306	0.000337675	2.66408e-05	-3.30198e-05	0.0210208	-0.00486477	0.0177511	-0.00444694	0.000665701	0	1.01354e-05	-4.31551e-05	-0.00373685	-0.00150564	0.000377724
0.54	-74.444	-8.36514e-06	-1.04726e-05	-0.0302282	0.000335432	2.64321e-05	-3.30154e-05	0.0209419	-0.00486756	0.0177411	-0.00445589	0.000665793	0	1.00784e-05	-4.30939e-05	-0.0037378	-0.001506	0.000376231
0.55	-74.4764	-8.2749e-06	-1.04074e-05	-0.0301262	0.00033321	2.62258e-05	-3.30113e-05	0.0208632	-0.00487034	0.0177311	-0.00446481	0.000665885	0	1.0022e-05	-4.30333e-05	-0.00373874	-0.00150635	0.000374746
0.56	-74.5086	-8.18717e-06	-1.0343e-05	-0.0300244	0.000331009	2.60219e-05	-3.30073e-05	0.0207846	-0.0048731	0.0177212	-0.00447369	0.000665977	0	9.96606e-06	-4.29733e-05	-0.00373968	-0.00150669	0.000373267
0.57	-74.5407	-8.1018e-06	-1.02792e-05	-0.0299228	0.000328828	2.58203e-05	-3.30035e-05	0.0207061	-0.00487585	0.0177113	-0.00448253	0.000666068	0	9.91062e-06	-4.29141e-05	-0.00374061	-0.00150704	0.000371796
0.58	-74.5726	-8.01869e-06	-1.02162e-05	-0.0298215	0.000326667	2.56211e-05	-3.29998e-05	0.0206278	-0.00487859	0.0177014	-0.00449133	0.000666158	0	9.85566e-06	-4.28555e-05	-0.00374154	-0.00150738	0.000370332
0.59	-74.6044	-7.93773e-06	-1.01538e-05	-0.0297204	0.000324526	2.54241e-05	-3.29964e-05	0.0205496	-0.00488132	0.0176916	-0.0045001	0.000666248	0	9.8012e-06	-4.27976e-05	-0.00374246	-0.00150773	0.000368875
0.6	-74.636	-7.85881e-06	-1.00921e-05	-0.0296196	0.000322404	2.52294e-05	-3.29931e-05	0.0204716	-0.00488403	0.0176819	-0.00450882	0.000666338	0	9.74721e-06	-4.27403e-05	-0.00374338	-0.00150807	0.000367425
0.61	-74.6675	-7.78183e-06	-1.0031e-05	-0.029519	0.000320302	2.50369e-05	-3.299e-05	0.0203937	-0.00488673	0.0176722	-0.00451752	0.000666426	0	9.69369e-06	-4.26837e-05	-0.0037443	-0.00150841	0.000365982
0.62	-74.6988	-7.70671e-06	-9.97066e-06	-0.0294187	0.000318219	2.48466e-05	-3.29871e-05	0.020316	-0.00488941	0.0176625	-0.00452617	0.000666515	0	9.64065e-06	-4.26278e-05	-0.00374521	-0.00150875	0.000364545
0.63	-74.7299	-7.63336e-06	-9.91093e-06	-0.0293187	0.000316154	2.46585e-05	-3.29844e-05	0.0202384	-0.00489209	0.0176528	-0.00453479	0.000666603	0	9.58808e-06	-4.25725e-05	-0.00374612	-0.00150908	0.000363116
0.64	-74.7609	-7.56169e-06	-9.85184e-06	-0.0292189	0.000314108	2.44724e-05	-3.29819e-05	0.020161	-0.00489475	0.0176433	-0.00454337	0.00066669	0	9.53597e-06	-4.25179e-05	-0.00374702	-0.00150942	0.000361694
0.65	-74.7918	-7.49164e-06	-9.79338e-06	-0.0291193	0.000312081	2.42885e-05	-3.29796e-05	0.0200837	-0.0048974	0.0176337	-0.00455192	0.000666777	0	9.48431e-06	-4.24639e-05	-0.00374792	-0.00150975	0.000360278
0.66	-74.8225	-7.42312e-06	-9.73554e-06	-0.02902	0.000310071	2.41066e-05	-3.29775e-05	0.0200065	-0.00490003	0.0176242	-0.00456043	0.000666863	0	9.43312e-06	-4.24106e-05	-0.00374882	-0.00151008	0.000358869
0.67	-74.8531	-7.35607e-06	-9.67832e-06	-0.028921	0.00030808	2.39268e-05	-3.29756e-05	0.0199295	-0.00490266	0.0176147	-0.0045689	0.000666949	0	9.38237e-06	-4.2358e-05	-0.00374971	-0.00151041	0.000357467
0.68	-74.8835	-7.29043e-06	-9.62171e-06	-0.0288222	0.000306107	2.3749e-05	-3.29739e-05	0.0198527	-0.00490527	0.0176053	-0.00457734	0.000667034	0	9.33206e-06	-4.2306e-05	-0.0037506	-0.00151074	0.000356072
0.69	-74.9138	-7.22613e-06	-9.56569e-06	-0.0287237	0.000304151	2.35731e-05	-3.29725e-05	0.019776	-0.00490787	0.0175959	-0.00458575	0.000667119	0	9.2822e-06	-4.22547e-05	-0.00375148	-0.00151107	0.000354683
0.7	-74.9439	-7.16311e-06	-9.51026e-06	-0.0286254	0.000302212	2.33992e-05	-3.29712e-05	0.0196995	-0.00491046	0.0175865	-0.00459412	0.000667203	0	9.23277e-06	-4.2204e-05	-0.00375236	-0.00151139	0.000353301
0.71	-74.9739	-7.10134e-06	-9.45542e-06	-0.0285274	0.000300291	2.32273e-05	-3.29701e-05	0.0196231	-0.00491303	0.0175772	-0.00460245	0.000667287	0	9.18378e-06	-4.21539e-05	-0.00375324	-0.00151172	0.000351926
0.72	-75.0037	-7.04074e-06	-9.40114e-06	-0.0284296	0.000298386	2.30572e-05	-3.29693e-05	0.0195469	-0.00491559	0.0175679	-0.00461075	0.000667371	0	9.13522e-06	-4.21045e-05	-0.00375411	-0.00151204	0.000350557
0.73	-75.0334	-6.98127e-06	-9.34744e-06	-0.0283321	0.000296498	2.2889e-05	-3.29687e-05	0.0194709	-0.00491815	0.0175587	-0.00461901	0.000667453	0	9.08708e-06	-4.20558e-05	-0.00375498	-0.00151236	0.000349195
0.74	-75.063	-6.9229e-06	-9.29429e-06	-0.0282349	0.000294627	2.27227e-05	-3.29683e-05	0.019395	-0.00492068	0.0175495	-0.00462724	0.000667536	0	9.03936e-06	-4.20077e-05	-0.00375584	-0.00151268	0.000347839
0.75	-75.0924	-6.86557e-06	-9.2417e-06	-0.0281379	0.000292772	2.25582e-05	-3.29681e-05	0.0193192	-0.00492321	0.0175403	-0.00463543	0.000667618	0	8.99206e-06	-4.19602e-05	-0.0037567	-0.001513	0.000346489
0.76	-75.1217	-6.80924e-06	-9.18964e-06	-0.0280411	0.000290934	2.23955e-05	-3.29682e-05	0.0192436	-0.00492573	0.0175312	-0.00464359	0.000667699	0	8.94517e-06	-4.19134e-05	-0.00375756	-0.00151331	0.000345147
